play_id,game_pk,pitcher_id,pitcher_name,is_strike,bats,throws,location_x,location_z
1d38f74e-cc27-4e7e-9b4b-874ea44ff6be,717934,592836,Walker_Taijuan,1,R,R,0.234,3.018
36c622ab-8581-48ee-bc39-61845d2a118c,717664,592836,Walker_Taijuan,1,L,R,-0.75,3.239
022e56cd-438a-4b6d-89f6-cde81a78d28d,718019,592836,Walker_Taijuan,0,L,R,0.639,3.81
be3e7ca1-a74a-4a8c-aeaa-e0b1b50bbc5f,717329,592836,Walker_Taijuan,0,L,R,0.185,1.362
c494d0d2-d59e-4bca-be23-c2ef4cf47a7b,716817,592836,Walker_Taijuan,1,R,R,0.86,1.715
218a5aff-212e-4684-b0bd-5064f8dd1d3d,718725,592836,Walker_Taijuan,0,L,R,-1.097,0.643
47a5a767-dee6-4043-9c7e-b4730ae28117,718088,592836,Walker_Taijuan,0,R,R,-0.846,-1.337
3acad1ff-0d19-425c-a0bd-1880cf707d24,718343,592836,Walker_Taijuan,0,R,R,0.969,1.527
b06a237a-2bc3-447f-87a1-7f3f466e1426,718088,592836,Walker_Taijuan,0,L,R,-1.433,3.002
a9e008ec-eaed-4571-b7f0-5da219438e77,717875,592836,Walker_Taijuan,1,R,R,0.676,1.948
c95228f5-9992-4ef2-82d6-187d953b2108,717028,592836,Walker_Taijuan,0,R,R,-2.392,3.632
c6457b33-745e-43e3-85ec-05e9a4aa63b8,717567,592836,Walker_Taijuan,0,R,R,1.271,2.038
0e499f84-bb25-43c7-8f5a-d78078302bfc,717189,592836,Walker_Taijuan,1,R,R,0.071,3.222
811488f2-1006-45f3-89d0-fdd9612aceba,717656,592836,Walker_Taijuan,0,L,R,1.169,4.139
720b1f28-65bd-4683-bbe1-6e5bfa707409,716720,592836,Walker_Taijuan,0,L,R,-1.024,2.915
8f43fa5f-631a-4060-8a13-b9aca460455c,716541,592836,Walker_Taijuan,0,L,R,-0.343,0.838
120be45d-143e-4eb4-832f-c02bfe5ac654,717735,592836,Walker_Taijuan,0,R,R,0.69,0.415
e3cdace9-1e49-425a-a346-5cc34e12b8a3,717397,592836,Walker_Taijuan,0,L,R,-0.95,2.213
c9796e20-d576-40ac-849a-b74c43e1e82c,718088,592836,Walker_Taijuan,0,R,R,0.504,0.532
ab98d4d3-14de-4826-b74b-75f76fb80755,716720,592836,Walker_Taijuan,0,R,R,-1.195,2.369
0e2cc94e-d5f8-4a61-9c07-d6b78a16fd76,717806,592836,Walker_Taijuan,1,R,R,0.745,1.682
7ea205e0-69fd-4de2-9c90-991e883f6285,716481,592836,Walker_Taijuan,0,L,R,-1.543,3.053
6f095418-f291-4ce5-b89e-b45413dba9a2,716899,592836,Walker_Taijuan,0,R,R,0.918,1.854
d88477fe-4ab1-4091-9424-613808a5402c,717329,592836,Walker_Taijuan,0,L,R,0.843,4.159
32a7ce51-84ae-4be7-9b0c-cdd3db15b062,717329,592836,Walker_Taijuan,0,L,R,0.841,1.141
b013182a-37fb-4aed-afae-e9abd91e4e18,716720,592836,Walker_Taijuan,0,R,R,1.513,2.077
06144ea9-9863-4b47-af47-18dd68428827,717491,592836,Walker_Taijuan,0,L,R,-0.047,1.053
640d176a-60b9-4724-af0f-647a968d2e60,717491,592836,Walker_Taijuan,0,L,R,0.229,3.599
d55fa64d-8b12-4d7a-8bc1-526c73a1650c,717656,592836,Walker_Taijuan,1,L,R,0.684,1.423
608a5f19-1b61-4883-9462-24174d0511cb,717329,592836,Walker_Taijuan,0,L,R,-1.511,3.906
c43dfa86-7c07-4d5c-b39e-8ad7fae5be3c,717567,592836,Walker_Taijuan,0,L,R,1.319,-0.702
78f6720e-0d97-41cb-9c2b-5975f7ce3b53,718343,592836,Walker_Taijuan,1,L,R,-0.305,1.671
db0506a6-ca6d-4e86-9631-36445d36a26b,717806,592836,Walker_Taijuan,0,R,R,0.237,1.033
b5f83b35-d964-4040-9aa4-5a4b24fb4e0f,717113,592836,Walker_Taijuan,0,L,R,1.186,0.223
3d8ffa24-1325-4244-b6eb-035306497383,717189,592836,Walker_Taijuan,0,L,R,-1.811,4.039
1afd9e98-19e9-4c90-8697-bbdb4eecea10,717491,592836,Walker_Taijuan,1,R,R,-0.373,3.204
5ac41bbc-afe6-4455-9e87-d2096cec913a,717113,592836,Walker_Taijuan,1,L,R,0.374,2.482
d4b62a99-4404-4658-abc8-ebfeebdaa250,717397,592836,Walker_Taijuan,0,R,R,0.937,1.419
13b809d9-9176-43d7-8568-c39ef73cdcf7,717267,592836,Walker_Taijuan,0,R,R,0.4,0.09
baae4050-d5ae-471d-8f3f-ce1cc42c1dfb,717656,592836,Walker_Taijuan,0,L,R,0.636,-0.142
05d73d5a-768c-41c5-84db-d8a964241dfd,716481,592836,Walker_Taijuan,0,L,R,0.135,1.158
464e0b15-a0b0-4663-b451-b0d8fecc07ab,716720,592836,Walker_Taijuan,0,R,R,0.321,1.721
